nTopics,PCA,max_iter,f_score1,balanced_accuracy1,precision_macro1,recall_macro1,f_score_macro1,precision_weighted1,recall_weighted1,f_score_weighted1,kappa1,kappa_linear1,kappa_quadratic1,f_score2,balanced_accuracy2,precision_macro2,recall_macro2,f_score_macro2,precision_weighted2,recall_weighted2,f_score_weighted2,kappa2,kappa_linear2,kappa_quadratic2
1250,500,5000,0.6232616940581542,0.34034481422210383,0.3165192139114784,0.34034481422210383,0.32018207897746065,0.5715244816728127,0.6232616940581542,0.5829680109549068,0.537127147766323,0.5266127126802236,0.5331254196750292,0.5461441213653603,0.479970955368505,0.3635503210066216,0.479970955368505,0.38666009355361824,0.6114847471314653,0.5461441213653603,0.5658834468872862,0.47175044552668877,0.47736033759969687,0.49082450033550196
1250,1000,5000,0.6207332490518331,0.33846660164564707,0.3131051533940606,0.33846660164564707,0.31783018835857874,0.5691739394704609,0.6207332490518331,0.5806434983293867,0.533929097515467,0.5263899285573882,0.5382897431566807,0.5562579013906448,0.4721089914719654,0.36479340837569507,0.4721089914719654,0.3845120674184779,0.6255549945201275,0.5562579013906448,0.5776926514670587,0.4837294665868327,0.48568992013159884,0.4953216602840663
1250,1250,5000,0.618204804045512,0.3289758555121649,0.3109518544209184,0.3289758555121649,0.3116563233974035,0.5655079137942187,0.618204804045512,0.5778661540268643,0.5305785578695426,0.5212727753979244,0.5311777371748825,0.5537294563843237,0.4716476474301512,0.3634615338871834,0.4716476474301512,0.3834392358099974,0.6258602213253708,0.5537294563843237,0.5758049069953185,0.48141840441575223,0.4839561670735292,0.4934485362202279
1500,20,5000,0.5549936788874842,0.2673705590355736,0.2224426797942989,0.2673705590355736,0.22778643212752664,0.4934256882971465,0.5549936788874842,0.5056215164167036,0.45069877920786616,0.3996840493794991,0.3802062569826252,0.5056890012642224,0.3023525485353596,0.24486539955516956,0.3023525485353596,0.2514819062501175,0.5269791488969484,0.5056890012642224,0.5061062383953894,0.41433924963405777,0.39338342899019085,0.40753556900823706
1500,50,5000,0.5979772439949431,0.3134230865603168,0.29018838107123335,0.3134230865603168,0.28149937382243634,0.5538948180562886,0.5979772439949431,0.5594636993040305,0.5067360073419538,0.47219204866391484,0.46035371977180584,0.527180783817952,0.43461505194001804,0.3413869968008293,0.43461505194001804,0.35790706295777724,0.6010114115348696,0.527180783817952,0.5513717282098239,0.4491704991900498,0.44242636280831715,0.45299391753128726
1500,150,5000,0.6219974715549936,0.3722442562071088,0.41462898046422697,0.3722442562071088,0.3588511859101179,0.6019359560550873,0.6219974715549936,0.5915471208162855,0.5374847952690308,0.5218231416230961,0.5267513145262341,0.5638432364096081,0.4859782481913487,0.39091566775070685,0.4859782481913487,0.41201654341098487,0.6210262821588781,0.5638432364096081,0.5801165969020541,0.48978618863860723,0.5028856966814599,0.5118951485740308
1500,300,5000,0.6207332490518331,0.36261473985541043,0.3927450253136367,0.36261473985541043,0.34831682551627796,0.5899530236343934,0.6207332490518331,0.5910191832998591,0.5363024566394923,0.5182586472800139,0.5168118314857607,0.5625790139064475,0.47904222471181584,0.36698833393479846,0.47904222471181584,0.3929698663967817,0.6199863926693125,0.5625790139064475,0.5793214966313188,0.4888797171793382,0.4823186487053035,0.4822495520477612
1500,500,5000,0.6283185840707964,0.3701077695752641,0.4065779046849671,0.3701077695752641,0.3566700406970532,0.6011874523161495,0.6283185840707964,0.5992561783196876,0.5453747490367116,0.537391074676898,0.5396952906221038,0.5625790139064475,0.48683141550112774,0.37430962612224533,0.48683141550112774,0.39982645349397805,0.6201798615066074,0.5625790139064475,0.5785094787761715,0.48951274604711204,0.489215976311853,0.4901506856736675
1500,1000,5000,0.6245259165613148,0.36815796314162036,0.3980996068224855,0.36815796314162036,0.3544736069859944,0.5940738463709506,0.6245259165613148,0.5955360032780989,0.5407958623601435,0.5300988542994318,0.531104640088637,0.5651074589127687,0.4930443010935341,0.37838208720434113,0.4930443010935341,0.4058722590961231,0.6222801156778202,0.5651074589127687,0.5808006599208246,0.4926471273733455,0.48613817926433145,0.48598603871383916
1500,1250,5000,0.6257901390644753,0.36855479106376027,0.3905799163278615,0.36855479106376027,0.3545658739159151,0.5920732677891254,0.6257901390644753,0.5969811132902162,0.5424582686828499,0.5305787559793367,0.5294763634283755,0.5676359039190898,0.49065437032453746,0.3787998864769097,0.49065437032453746,0.4054269304096745,0.6240817431350979,0.5676359039190898,0.5833677073344941,0.4951666840840213,0.4966536743204685,0.5031770285212462
1500,1500,5000,0.6257901390644753,0.368801463785121,0.40523095365689793,0.368801463785121,0.3552500361912237,0.5983991141677719,0.6257901390644753,0.5964618370538667,0.542260583963011,0.5283642308093632,0.5293888410927079,0.5625790139064475,0.4859005142474372,0.372140560488881,0.4859005142474372,0.3992908279635524,0.6214711439094155,0.5625790139064475,0.5791967602095995,0.4895441659206208,0.4844911367244358,0.48160418809066075
2000,20,5000,0.5372945638432364,0.22224180755682993,0.19495260312596077,0.22224180755682993,0.20637282470596413,0.48087710428214103,0.5372945638432364,0.5046086066897681,0.43076629655773124,0.36348582950784447,0.3083163264602109,0.44627054361567636,0.28830816513201796,0.28199675385169914,0.28830816513201796,0.25632584718664403,0.5378254134828307,0.44627054361567636,0.47145024788822476,0.35737458010976975,0.3475923163285708,0.35194410671280163
2000,50,5000,0.5689001264222503,0.27655276307054383,0.31703549726240776,0.27655276307054383,0.2753751813684492,0.5482791129212593,0.5689001264222503,0.546431930996123,0.4727563444731786,0.4255805810948172,0.38752337255858393,0.4892541087231353,0.35303102395713587,0.29677309531918805,0.35303102395713587,0.30244384322661155,0.5799976555190166,0.4892541087231353,0.5204034111670119,0.40843500845055813,0.3597081795965308,0.32900375913169533
2000,150,5000,0.584070796460177,0.281484690861885,0.30724804606971107,0.281484690861885,0.2825676259077474,0.5581786983123265,0.584070796460177,0.5633884800660369,0.49246218415283916,0.45603615922135887,0.43028941068721716,0.49557522123893805,0.3854071241321778,0.3094373315790725,0.3854071241321778,0.31514902397992806,0.6058959861054488,0.49557522123893805,0.5302685269405959,0.42006986158145887,0.38297633832565847,0.3592634564243581
2000,300,5000,0.584070796460177,0.28976227315833514,0.3146469977813592,0.28976227315833514,0.29052360402362243,0.556632421101692,0.584070796460177,0.5627084938519527,0.4919092524258576,0.44944693285491844,0.4246896654235449,0.49810366624525915,0.37116714246521143,0.30571830218748675,0.37116714246521143,0.30884820194922086,0.6088052825954609,0.49810366624525915,0.5335292559757989,0.42250775593671674,0.394115812498391,0.37271367657850574
2000,500,5000,0.5828065739570164,0.28206841366271984,0.3049210661124403,0.28206841366271984,0.28129709982735124,0.5539669548034932,0.5828065739570164,0.5605282758756914,0.4904474762480163,0.4453977994818179,0.41014461410920855,0.49557522123893805,0.36969514959922956,0.3027664653155569,0.36969514959922956,0.3072905477980666,0.6013641181847009,0.49557522123893805,0.5291817354173465,0.4191134923424924,0.387275273853219,0.37104583964714644
2000,1000,5000,0.584070796460177,0.2803144950486032,0.3042553508277241,0.2803144950486032,0.28012665089233707,0.5559012053641211,0.584070796460177,0.5622003082700106,0.49186361648286425,0.4517126404070002,0.42078209083654694,0.4993678887484197,0.3895746175236822,0.31528776485717064,0.3895746175236822,0.3213466769205992,0.6099536937250558,0.4993678887484197,0.5344787830119121,0.42452117838344317,0.3943184702597513,0.3775223225416855
2000,1250,5000,0.5815423514538559,0.279836270805577,0.3045864060337399,0.279836270805577,0.2804839837227672,0.5528728938569428,0.5815423514538559,0.5599207788387346,0.4889273214561085,0.4455455288586101,0.41390015528053503,0.4943109987357775,0.36906852915694094,0.30561579401093014,0.36906852915694094,0.3100458520825728,0.6003592585594365,0.4943109987357775,0.5287683352052608,0.41764584621727474,0.3878878495172464,0.3718060136477088
2000,1500,5000,0.584070796460177,0.28134326214902766,0.30466903729772554,0.28134326214902766,0.2810564668122349,0.5557958449583255,0.584070796460177,0.5623878697136638,0.4923027700663497,0.4496414850698983,0.4160659074569858,0.506953223767383,0.376181186898682,0.3083232305111775,0.376181186898682,0.31457021661207885,0.6056588343939269,0.506953223767383,0.538738017106766,0.43074623560673164,0.40309615348581307,0.3867761303646893
2000,2000,5000,0.584070796460177,0.28713836656574315,0.31253438993800237,0.28713836656574315,0.2889187527851112,0.5585435877735185,0.584070796460177,0.564309034547028,0.49266798711780346,0.4582278582414766,0.4336817756792034,0.5056890012642224,0.3949888544454952,0.31697810303454566,0.3949888544454952,0.32582131161878636,0.6094584017393901,0.5056890012642224,0.5381774759143848,0.43077500703982985,0.4099276058574415,0.3970024814684028
