tree1,tree2,dist
836,3444,0.0016951397165525135
853,2570,0.0016973831581420969
586,1986,0.0017022845205524884
3435,775,0.0017042048707076596
694,1634,0.0017092975499175544
168,580,0.0017210966439436329
657,2536,0.001734785130614619
1356,1735,0.0017468294590813754
1194,2679,0.0017494516592817533
105,700,0.0017550673220794177
3551,414,0.0017566749489281164
2754,3240,0.0017628279639347044
322,3518,0.0017668971092504315
737,2532,0.0017690228789389861
1479,2711,0.0017763550060216071
3347,3077,0.0017813184141659277
1172,2485,0.001782719794293064
1547,3471,0.0017881190121786864
3447,2983,0.0017912555815445541
1576,2573,0.0017933480635314858
515,2548,0.0017966771170609686
447,2997,0.0017980934416620964
1180,3101,0.0018064295868502334
1526,1869,0.0018085317819915292
3565,3398,0.0018211962676983329
567,1992,0.0018224271156795785
230,538,0.0018246049313578178
397,1879,0.0018442747923121117
3480,2955,0.0018493905707274785
114,2594,0.0018506368938736029
323,437,0.0018540804354681487
3479,692,0.0018588105977446756
2437,2637,0.0018633776244239564
222,426,0.0018652223955096248
1715,2634,0.0018753142461107458
3509,3025,0.0018795817711809715
804,1141,0.0018833078410455673
3487,3400,0.0018953463356801425
2261,2530,0.0019035033155645337
3368,1663,0.001904844090176827
1546,3260,0.001906135729891345
1013,1872,0.0019061579834732112
615,3185,0.001908094768750146
3478,1666,0.001919232221152492
846,1010,0.0019338714700082027
1636,2289,0.0019404889551119797
1579,1798,0.0019421148681351835
3413,1009,0.0019438251140301288
3515,3157,0.001968177094701748
55,1093,0.001976358709392211
368,2112,0.0019899273325802436
2409,2434,0.00199087550004913
3359,3485,0.0019914472362054236
1,1791,0.0019958109762999547
345,1305,0.0019971119585127095
523,3070,0.0020104805449804863
44,324,0.0020125377738494515
217,449,0.0020151180174096534
957,3106,0.002025141044787057
2372,2663,0.0020317113276684395
757,1400,0.0020320456881500887
3441,3431,0.0020374681947318077
3363,2172,0.002039059108916663
52,2695,0.0020398118416964997
1108,2680,0.0020416087021562015
3436,2649,0.002042691617456127
2605,3284,0.0020430391189463215
1124,1309,0.0020466943308871943
889,1261,0.0020539532143013517
3411,1999,0.0020626182214215083
1078,3297,0.002066408726474553
849,3089,0.0020707825009012026
2140,3172,0.0020832531455674264
3358,3463,0.0020843752919643688
1493,1741,0.0020940468585414207
1098,3197,0.002097072817162378
161,2336,0.002097989129755156
3388,3641,0.002101603823447651
1219,1848,0.0021041238696378195
1459,2692,0.002108551859637875
758,3391,0.002108764427088794
578,1022,0.0021100002231824455
2589,2745,0.0021105302267047654
3498,2436,0.002112625997734985
633,650,0.00211745773890637
1120,3370,0.0021208825322856506
873,2428,0.002124169288746258
1307,1568,0.00213719979233358
468,2141,0.0021433857155056524
89,1514,0.00214356542169929
861,3522,0.0021483057240002656
1255,3128,0.002148406471919037
3443,3477,0.0021543232164512593
329,656,0.002154765430081612
37,958,0.0021588761852093796
2407,2803,0.002160542944372755
544,1601,0.00217277862672538
2179,3133,0.002173068914758966
3492,1258,0.002177642195881957
1118,2102,0.0021792629992771206
1205,2293,0.002189661869923698
474,1149,0.0021946952198303726
3396,3497,0.0021984079305220894
3386,2265,0.002211214130274086
2188,2963,0.0022233293787024336
3567,275,0.0022322974803196116
419,2577,0.002233770811578613
379,672,0.002236841505110901
373,3158,0.0022403895775357507
352,1977,0.0022432929083053277
1788,2448,0.0022451715801449154
371,968,0.002274193925778845
